comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes,group-c-votes,group-c-agrees,group-c-disagrees,group-c-passes
0,"AI in care homes should free up time for staff to spend with residents, not replace human
contact.",32,29,0,3,16,13,0,3,12,12,0,0,4,4,0,0
1,"People living with dementia deserve a say in whether AI tools are used in their care.",29,25,1,3,13,11,0,2,12,11,0,1,4,3,1,0
2,"Using AI to keep an elderly person company when no human is available is better than
leaving them alone.",30,20,5,5,14,11,0,3,10,4,4,2,6,5,1,0
3,"Families caring for someone with a serious illness should be offered AI tools to help, even if
those tools are not perfect.",37,18,13,6,13,2,6,5,17,16,0,1,7,0,7,0
4,"When AI helps make a decision about your benefits, housing, or health, you should be told.",28,26,0,2,13,12,0,1,10,9,0,1,5,5,0,0
5,"If an AI system treats people unfairly because of their race, age, or disability, someone
should be held responsible.",33,28,2,3,13,9,2,2,15,14,0,1,5,5,0,0
6,"People should always be able to reach a real person when dealing with a government
service, even if AI handles most tasks.",31,30,0,1,14,13,0,1,13,13,0,0,4,4,0,0
7,"The UK should create an independent body with real power to shut down harmful AI
systems.",34,25,3,6,15,9,3,3,14,11,0,3,5,5,0,0
8,"People are being harmed by AI-driven decisions while the government takes too long to
act.",32,27,3,2,15,11,3,1,12,11,0,1,5,5,0,0
9,"Workers who lose their jobs because of AI should get real help finding new work, not just
advice.",34,27,4,3,14,7,4,3,14,14,0,0,6,6,0,0
10,"Companies should not be allowed to replace workers with AI unless they help those workers
find new roles.",35,15,15,5,16,1,11,4,12,8,3,1,7,6,1,0
11,"New AI data centres in Oxfordshire will create good jobs for local people, not just for tech
workers from elsewhere.",28,11,7,10,13,5,3,5,12,5,2,5,3,1,2,0
12,"Communities should have a voice in deciding how AI is used in their local schools and
hospitals.",33,28,2,3,15,12,1,2,14,12,1,1,4,4,0,0
13,"Schools should teach children to question what AI tells them, not just how to use it.",29,27,1,1,12,10,1,1,12,12,0,0,5,5,0,0
14,"AI tools in schools do more to help struggling students catch up than they do to harm
learning.",32,8,15,9,15,7,2,6,12,1,8,3,5,0,5,0
15,"When I talk to a chatbot or AI assistant, I should always be told it is not a real person.",30,27,1,2,14,12,0,2,10,9,1,0,6,6,0,0
16,"Big technology companies care more about profits than about what happens to our
communities.",29,26,1,2,14,12,1,1,11,10,0,1,4,4,0,0
17,"A community that takes care of its people matters more than one with the most advanced
technology.",27,22,1,4,12,9,0,3,12,10,1,1,3,3,0,0
18,"AI companies should have to pay artists and writers when they use their work to train AI
systems.",31,27,2,2,13,10,1,2,11,11,0,0,7,6,1,0
19,"We should slow down on AI until we better understand what it does to people.",33,21,8,4,13,4,6,3,14,11,2,1,6,6,0,0
